2016-04-21 20:14:56,515 [Worker-63] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dmitrij\Desktop\KinoWebApp\KinoWebApp\src\test\resources
2016-04-21 20:16:06,102 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-21 20:16:06,102 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dmitrij\Desktop\KinoWebApp\KinoWebApp\src\main\resources
2016-04-21 20:16:06,103 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-21 20:16:06,104 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dmitrij\Desktop\KinoWebApp\KinoWebApp\src\test\resources
2016-04-21 20:16:35,405 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-21 20:16:35,406 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dmitrij\Desktop\KinoWebApp\KinoWebApp\src\main\resources
2016-04-21 20:16:35,408 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-21 20:16:35,409 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dmitrij\Desktop\KinoWebApp\KinoWebApp\src\test\resources
2016-04-21 20:16:48,227 [Worker-49] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for KinoWebApp
2016-04-21 20:16:48,484 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-21 20:16:48,485 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dmitrij\Desktop\KinoWebApp\KinoWebApp\src\main\resources
2016-04-21 20:16:48,486 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1250 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-21 20:16:48,487 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Dmitrij\Desktop\KinoWebApp\KinoWebApp\src\test\resources
2016-04-21 20:16:48,487 [Worker-62] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of KinoWebApp
